Sample Time MS,Sample Cycles,Interesting Time MS,Interesting Cycles,Q Sort Time MS,Q Sort Cycles
297,949934,272,869311,79,251870
401,1280401,228,725660,99,317763
383,1222051,213,680936,80,257490
369,1175420,293,932749,96,306972
423,1349345,218,696519,80,256406
371,1182120,223,711304,108,342751
382,1218401,336,1072038,168,536172
458,1460116,348,1109909,129,412628
328,1047059,404,1289390,133,422180
531,1695466,264,841761,84,267328
350,1116411,348,1110233,84,266989
252,804219,276,881558,85,273180
288,919433,276,881264,87,276543
301,959978,318,1014628,83,266052
270,863924,303,966608,89,284235
334,1065511,306,975768,86,272475
421,1341505,380,1212894,94,299220
314,1001962,286,914089,86,273396
389,1241315,299,952955,81,259564
332,1059452,257,818462,102,325383
322,1025428,227,722859,82,262804
326,1039824,216,688547,100,318906
334,1067982,238,759464,86,276037
314,1001428,261,834178,85,272714
246,786429,266,847970,92,293132
238,760917,224,715302,85,270153
257,821737,231,737526,87,275719
280,893313,333,1063101,112,355507
422,1348181,319,1018796,85,271447
278,887619,311,991827,87,278879
306,975754,253,809921,86,273710
243,776355,243,776798,85,273605
247,788197,295,940163,87,278012
241,768736,253,808413,95,302289
391,1247469,434,1384048,239,762168
252,804708,256,818559,87,277188
259,827123,404,1289169,87,277688
323,1029970,312,995190,89,281331
334,1064856,294,938587,156,498817
395,1259758,253,808276,89,285156
382,1219936,270,861582,86,275369
264,841372,246,785153,86,276823
232,740433,235,749294,86,275248
247,785406,243,775952,86,275679
241,769460,241,769019,85,272787
237,757517,233,741403,84,269339
221,705289,243,774542,86,276368
234,746880,244,777808,84,268017
247,787565,227,723925,87,276133
248,790777,234,747400,92,291643
231,738281,230,736346,85,269962
240,766344,249,796676,85,273948
247,787910,362,1153360,196,625086
379,1207714,236,753294,86,275020
234,746612,245,781595,88,281217
557,1776986,330,1053122,115,368307
266,850619,242,775037,109,349385
255,815391,248,791203,86,275145
307,980418,282,899045,87,278113
319,1016771,247,786643,85,273409
273,868792,259,827157,126,399320
310,988899,312,996319,89,282800
368,1174465,336,1069638,84,268352
267,852566,426,1359953,89,282422
273,871647,277,883517,88,280628
290,924775,278,888501,86,273486
280,893290,260,829924,86,273025
236,753098,249,793788,87,276619
255,813448,234,745048,86,274896
237,757832,235,751629,91,291796
228,729217,236,754076,84,268730
255,811540,231,738301,86,272985
222,706997,245,780954,84,269569
213,677583,220,703878,87,277325
236,755696,230,733138,91,288993
222,706937,224,715470,85,271566
217,692232,235,750394,116,370697
342,1091203,394,1256761,261,833904
312,997091,284,908497,84,269804
357,1137529,377,1203589,106,339041
268,855176,302,963062,108,343255
241,768028,252,804787,106,337707
278,889981,241,767045,89,285035
289,924501,238,757238,87,275749
272,868149,269,857032,88,280707
387,1235028,565,1802998,102,324682
375,1194961,275,878352,214,680472
290,924770,262,835957,87,278474
295,940088,279,890069,85,274064
284,907398,251,799288,87,276791
244,778409,251,802272,94,301098
245,782945,236,753318,85,270351
243,775104,218,697617,86,276090
240,767416,238,760177,85,271792
233,744802,277,884563,86,274746
227,726120,220,704616,88,280003
229,728859,222,709104,85,272438
232,738910,249,792789,86,273480
233,745383,261,833511,85,269781
240,765310,239,763287,91,289600
357,1138007,245,780213,89,282774
260,831313,221,704025,86,274514
256,818938,224,713097,86,275078
271,865337,232,742003,84,270955
279,889800,352,1123546,89,282655
243,775279,298,951051,256,815590
277,884781,242,771962,85,271097
326,1041172,283,904225,88,278851
303,969494,236,754686,87,278437
258,823558,260,829938,113,361266
411,1313510,302,963718,90,287957
342,1092349,287,916138,89,282798
302,961396,246,782481,87,276795
235,747869,302,961314,85,270544
272,866519,275,876341,87,278451
242,771876,235,749388,93,297392
232,740296,229,732733,84,270339
237,756756,239,762821,87,277531
237,754996,238,758485,87,276374
248,792829,233,743706,86,273327
237,757100,255,813213,87,276078
243,776268,236,752619,85,271036
222,707173,232,740495,86,275072
230,736342,250,798957,88,280842
231,739768,249,794119,91,289615
237,756146,223,711482,87,280158
224,714555,266,847936,87,276386
224,713649,232,741179,85,271654
259,823879,226,723546,85,272237
258,821862,232,743244,87,277581
248,792698,349,1113883,129,411236
368,1173781,269,856982,87,278435
328,1046863,232,740888,87,276582
244,779497,269,860242,88,281474
325,1035890,275,876192,84,270815
234,746027,276,879561,86,272807
247,789833,464,1480588,92,294257
349,1114389,270,862809,87,275165
288,917114,283,902538,88,279953
279,891313,286,913736,88,282524
283,901764,301,959825,85,273498
253,807606,241,770010,86,275431
233,744798,262,837003,87,278339
226,723219,241,769828,86,274476
213,679614,243,774072,89,282421
269,856252,229,731580,85,270423
240,765671,241,769202,87,276435
234,745066,245,782490,85,270504
220,702593,245,779668,87,277147
247,785554,236,754583,92,293946
221,706756,235,749667,84,269104
230,734882,231,737559,87,274756
251,801079,242,771630,87,275966
254,810077,242,772268,84,270528
283,903447,287,913903,109,345887
431,1375308,374,1194199,109,348901
382,1221050,299,896467,88,283572
338,1079706,237,754548,89,284136
256,816211,246,783135,88,281793
276,879854,258,823677,88,280423
262,837916,251,800851,85,270258
305,974086,346,1102953,88,282514
341,1088645,326,1039235,90,285303
309,981437,281,898554,84,268652
