Sample Time MS,Sample Cycles,Interesting Time MS,Interesting Cycles,Q Sort Time MS,Q Sort Cycles
286,913598,262,838103,87,277186
241,769215,250,797563,86,274498
415,1324341,524,1672405,158,502075
506,1613840,447,1423473,121,386615
535,1706815,443,1410774,122,391288
501,1599127,503,1605911,119,380565
598,1908125,396,1262231,122,388721
514,1642215,525,1677740,119,379584
552,1763207,419,1337872,123,393117
674,2149582,493,1572455,137,438728
564,1799194,451,1437583,183,583749
522,1664987,399,1272530,135,430817
392,1252854,430,1374716,134,428058
397,1265372,407,1299529,123,391030
420,1338689,480,1530104,122,390206
425,1356346,561,1788345,173,551082
568,1812644,441,1407968,146,466749
551,1755349,463,1478831,123,390692
555,1770538,429,1368372,125,398855
498,1588621,464,1480959,110,349043
551,1759144,433,1383381,120,383957
482,1535727,472,1505187,120,384662
518,1653740,463,1479883,109,348528
547,1745281,425,1356390,142,453409
494,1574082,409,1308216,140,446767
417,1329776,376,1201663,105,335910
246,787432,232,739301,88,278891
230,734919,234,746410,86,277096
238,761860,236,752955,85,271898
251,801877,241,767519,86,272219
240,764022,244,778729,87,278148
231,739575,384,1224374,88,282559
255,813791,243,774959,87,274975
232,740656,317,1014176,171,546282
358,1142577,260,828956,93,294472
232,741904,258,824406,85,271602
286,910991,268,854374,269,858783
262,836300,250,798738,87,276509
275,877282,248,791388,86,273706
244,776522,240,765280,115,365508
281,898788,253,807179,85,270446
291,927306,267,855212,85,272777
283,902447,443,1413258,86,276529
354,1127513,325,1038650,89,284328
263,839845,301,962755,90,288903
285,909847,234,747014,87,277940
247,789000,259,823760,86,276100
250,798778,245,784390,86,275759
230,735534,257,821385,85,272130
231,736409,246,784398,87,277377
248,792114,228,727748,84,269605
226,719231,247,787650,86,273135
226,719032,245,782514,86,273938
235,750783,233,743446,86,274496
226,721557,222,711170,84,268570
234,748943,366,1166204,89,286309
243,775962,231,738903,86,271509
226,719824,273,872403,88,283151
363,1157439,249,795495,88,278728
231,738970,236,753284,92,296340
374,1195108,236,752994,87,280141
382,1218876,267,852172,129,409105
279,890717,274,873303,91,289019
242,770989,238,761244,84,268492
250,798057,303,967689,85,271348
306,976347,261,830406,89,283788
263,840939,303,967799,86,275274
337,1076792,259,824763,88,280723
260,829046,294,939695,96,306504
301,959442,293,935544,86,272459
253,810446,250,800388,87,276464
225,717340,234,746664,84,269291
234,749471,244,777935,87,277377
238,760049,331,1056679,89,282272
245,780384,249,795441,84,269232
228,727508,248,791993,86,273902
231,736479,227,723411,86,272402
242,770380,256,818524,85,273903
240,766282,233,740961,87,275953
231,735537,246,786725,84,269569
240,764838,236,752417,87,275282
226,721394,217,692409,85,271437
234,749175,251,799989,85,269206
255,815002,241,770006,86,275419
254,809732,259,828096,93,298855
236,751914,226,722673,87,275838
256,815747,311,993254,88,281099
243,774757,251,798762,86,277253
322,1030051,260,828683,89,282171
282,899293,247,789698,85,272422
267,854278,242,773423,87,276069
294,938868,285,910202,86,276289
300,955867,347,1107255,86,276415
398,1270246,313,998728,87,279473
297,949606,275,878870,84,268624
345,1101992,268,855937,86,274643
286,912392,264,843369,86,276038
282,900277,237,756952,85,269992
271,866220,240,765167,86,276320
